ORIG_STATE,DEST_STATE,COMMODITY,MODE,VALUE
KS,KS,Wood,Truck,116
GA,KS,Wood,Truck,301545
IL,CT,Wood,Truck,2021
AL,FL,Wood,Truck,1004
WA,WA,Grains,Truck,5349
CA,CA,Grains,Truck,1027
IN,IN,Grains,Truck,15827
MD,MD,Wood,Truck,765
TX,WA,Grains,Truck,1154
IL,GA,Grains,Rail,35346
KY,KY,Fuels,Truck,2716
FL,NY,Grains,Truck,65
FL,OH,Wood,Truck,1319
NJ,MD,Grains,Truck,10387
TX,NE,Fertilizers,Rail,32980
MI,IL,Grains,Truck,2407
MN,MN,Wood,Truck,8
MO,FL,Wood,Truck,3418
AR,AZ,Wood,Truck,5922
MI,MA,Wood,Truck,3936
PA,MD,Grains,Truck,441
OH,NY,Wood,Truck,16
NC,SC,Wood,Truck,68
PA,NY,Grains,Truck,6354
FL,FL,Grains,Truck,63
NC,IN,Wood,Truck,40257
CA,AZ,Wood,Truck,89
KS,CA,Wood,Truck,452675
TX,TX,Wood,Truck,50
NV,OK,Wood,Truck,979
CA,CA,Fertilizers,Truck,12464
NY,NY,Wood,Truck,10
LA,MS,Grains,Truck,9936
UT,CA,Fertilizers,Truck,13426
NC,PA,Wood,Truck,8816
KY,KY,Fertilizers,Truck,11819
WI,KS,Wood,Truck,748
FL,TN,Grains,Truck,3889
KY,KY,Wood,Truck,4
IA,OH,Wood,Truck,709
NE,NE,Wood,Truck,36
HI,HI,Fertilizers,Truck,31
KS,KS,Grains,Truck,13582
CA,CA,Grains,Truck,204228
PA,TN,Wood,Truck,1324
AR,WI,Wood,Truck,3015
PA,NY,Grains,Truck,1952
WV,NY,Wood,Truck,126510
TX,TX,Wood,Truck,901
NM,TX,Grains,Truck,10109
KS,AL,Wood,Truck,556
WV,WV,Wood,Truck,340
MI,MI,Wood,Truck,34
MT,MT,Wood,Truck,76
NC,OH,Wood,Truck,1474
MN,IL,Wood,Truck,593
OH,OH,Wood,Truck,5799
GA,GA,Grains,Truck,19838
CA,NY,Wood,Truck,1060
SC,SC,Wood,Truck,1209
CA,CA,Grains,Truck,108773
KY,KY,Fertilizers,Truck,7601
PA,NY,Wood,Truck,775
SC,NJ,Wood,Truck,717
TX,SD,Wood,Truck,34
VA,MD,Grains,Truck,1240
NC,FL,Wood,Truck,18928
NY,ND,Wood,Truck,187
OH,OH,Fuels,Truck,901
TX,TX,Grains,Truck,36
AZ,TX,Grains,Truck,1846
TX,TX,Wood,Truck,35156
TX,TX,Grains,Truck,397
UT,CA,Wood,Truck,152
NV,TX,Wood,Truck,225
MI,TX,Wood,Truck,3768
MI,MI,Wood,Truck,8140
NJ,NY,Wood,Truck,3486
CA,CA,Fertilizers,Truck,2407
IN,FL,Wood,Truck,156
WI,PA,Wood,Truck,1443
CA,CA,Wood,Truck,577
IL,MN,Wood,Truck,22885
IA,WI,Wood,Truck,14813
TX,FL,Wood,Truck,1091
NC,NJ,Wood,Truck,18175
VT,VT,Wood,Truck,209
IN,OH,Wood,Truck,23
DE,PA,Wood,Truck,644
CA,IN,Grains,Truck,65194
NV,AZ,Wood,Truck,7081
NJ,TN,Wood,Truck,207
IN,IN,Wood,Truck,324
MI,MI,Wood,Truck,346
ND,ND,Wood,Truck,1
OR,NY,Wood,Truck,54
KY,VA,Wood,Truck,6865
TX,TX,Wood,Truck,1284
PA,FL,Wood,Truck,1318
TX,CA,Fertilizers,Truck,15382
GA,AL,Fertilizers,Truck,26911
IA,UT,Wood,Truck,16947
FL,FL,Grains,Truck,98
KS,KS,Fertilizers,Truck,13513
IL,MN,Wood,Truck,7054
CA,UT,Wood,Truck,6350
ND,IL,Grains,Truck,14580
PA,PA,Fuels,Truck,1429
VA,GA,Wood,Truck,631
TX,FL,Wood,Truck,9
IL,IL,Wood,Truck,120
NJ,NJ,Wood,Truck,45085
NH,NY,Wood,Truck,3607
WI,IL,Wood,Truck,126022
IL,CA,Wood,Truck,4256
NC,NJ,Wood,Truck,49930
VA,CA,Wood,Truck,17873
WA,MN,Grains,Truck,1825
IA,IA,Wood,Truck,316
IL,IL,Wood,Truck,12705
PA,CT,Grains,Truck,2746
WI,IL,Wood,Truck,2486
MN,MN,Wood,Truck,5497
WI,MN,Wood,Truck,3491
LA,LA,Grains,Truck,880
MO,TX,Wood,Air,106
PA,MA,Grains,Truck,7215
VA,NC,Grains,Truck,127517
CT,CT,Wood,Truck,28
MA,FL,Grains,Truck,30812
VA,VA,Grains,Truck,41
OH,LA,Grains,Air,17
NE,NE,Wood,Truck,90
TX,TX,Fertilizers,Truck,1922
WA,OR,Grains,Truck,15813
KY,KY,Fuels,Truck,1660
LA,KS,Fertilizers,Rail,120275
KY,KY,Wood,Truck,3608
KY,IN,Wood,Truck,10282
IA,IA,Grains,Truck,9533
FL,NY,Wood,Truck,180
MI,MI,Grains,Truck,7665
WI,IL,Wood,Truck,81740
TN,ME,Fertilizers,Truck,60395
LA,UT,Wood,Truck,2007
IN,IN,Grains,Truck,14018
WI,WI,Wood,Truck,9230
WI,CO,Wood,Truck,38
MN,MN,Grains,Truck,10967
WA,OR,Fertilizers,Truck,332
ND,ND,Wood,Truck,1098
IL,IL,Fuels,Truck,924
AZ,TX,Wood,Truck,31483
GA,FL,Wood,Truck,80641
IN,IN,Fuels,Truck,1168
PA,ME,Grains,Truck,25131
MD,MD,Wood,Truck,70738
WA,WA,Wood,Truck,957
TX,TX,Wood,Truck,12642
FL,FL,Fertilizers,Truck,7667
UT,UT,Wood,Truck,1206
NC,NC,Wood,Truck,3969
FL,FL,Wood,Truck,2665
IA,IL,Wood,Truck,6594
WV,WV,Fuels,Truck,3098
CA,NC,Grains,Truck,21
KS,MO,Wood,Truck,5472
NE,NE,Fertilizers,Truck,10038
OK,KS,Fertilizers,Truck,11585
WY,GA,Fuels,Rail,163835
PA,PA,Wood,Truck,121
IA,IA,Grains,Truck,6056
NE,NE,Wood,Truck,546
PA,TX,Grains,Truck,1083
PA,FL,Wood,Truck,54893
TX,TX,Fertilizers,Truck,303
GA,GA,Fertilizers,Truck,7265
NC,SC,Grains,Truck,11195
MD,PA,Wood,Truck,26555
KY,KY,Fuels,Truck,250264
MT,WA,Fertilizers,Rail,9724
OK,OK,Wood,Truck,1268
MI,CA,Wood,Truck,3499
NJ,NJ,Grains,Truck,4228
LA,IL,Fertilizers,Rail,65778
AK,AK,Wood,Truck,693
IN,IN,Fuels,Truck,964
PA,MA,Wood,Truck,4943
CA,CA,Wood,Truck,1884
IN,UT,Wood,Truck,10644
KS,MO,Grains,Truck,611
ME,NY,Fertilizers,Truck,4244
NC,NC,Wood,Truck,4975
WA,WA,Wood,Truck,237
MD,MD,Wood,Truck,37
AL,AL,Fuels,Truck,3019
DE,DE,Wood,Truck,130
IL,MI,Wood,Truck,396
MA,VA,Wood,Truck,12362
OR,WA,Wood,Truck,14
AL,AL,Fuels,Truck,2585
SC,SC,Fertilizers,Truck,19851
CT,CT,Wood,Truck,20
